NZ_CP034778.1_1	U3U6Q6
NZ_CP034778.1_440	U3U2A0
NZ_CP034778.1_441	G8NUC8
NZ_CP034778.1_443	U3U799
NZ_CP034778.1_444	J9ZEA3
NZ_CP034778.1_449	U3U7J9
NZ_CP034778.1_450	S6BEY1
NZ_CP034778.1_451	U3U986
NZ_CP034778.1_453	U3U5Z3
NZ_CP034778.1_454	U3U2G8
NZ_CP034778.1_455	U3U7E7
NZ_CP034778.1_456	S6BEX6
NZ_CP034778.1_457	S6C0R5
NZ_CP034778.1_458	Q6MT55
NZ_CP034778.1_459	E6W686
NZ_CP034778.1_460	A5UXJ6
NZ_CP034778.1_461	B5YHA8
NZ_CP034778.1_462	G8NX99
NZ_CP034778.1_464	G0GA60
NZ_CP034778.1_465	G0G9W0
NZ_CP034778.1_466	E3CV04
NZ_CP034778.1_467	D3PE73
NZ_CP034778.1_468	F8C5H6
NZ_CP034778.1_469	U3U989
NZ_CP034778.1_470	U3U7Q4
NZ_CP034778.1_471	U3U5Z6
NZ_CP034778.1_472	S6BVL4
NZ_CP034778.1_473	S6BF40
NZ_CP034778.1_474	U3U7F1
NZ_CP034778.1_477	S6BVK1
NZ_CP034778.1_478	U3U600
NZ_CP034778.1_479	D8K2Q8
NZ_CP034778.1_480	U3U2H6
NZ_CP034778.1_481	U3U7F5
NZ_CP034778.1_482	U3U994
NZ_CP034778.1_483	S6BM18
NZ_CP034778.1_484	U3U604
NZ_CP034778.1_485	U3U2H9
NZ_CP034778.1_486	U3U7F9
NZ_CP034778.1_488	S6BAV7
NZ_CP034778.1_489	U3U7R5
NZ_CP034778.1_490	U3U607
NZ_CP034778.1_492	U3U2I4
NZ_CP034778.1_493	S0EWX1
NZ_CP034778.1_494	U3U7G2
NZ_CP034778.1_495	S6BZ29
NZ_CP034778.1_496	U3U9A0
NZ_CP034778.1_497	U3U7R8
NZ_CP034778.1_498	U3U610
NZ_CP034778.1_499	U3U2I9
NZ_CP034778.1_500	B5YL54
NZ_CP034778.1_504	C1F510
NZ_CP034778.1_506	S6BJQ1
NZ_CP034778.1_507	U3U7S1
NZ_CP034778.1_508	U3U613
NZ_CP034778.1_509	U3U2J3
NZ_CP034778.1_510	U3U7H0
NZ_CP034778.1_511	U3U9A6
NZ_CP034778.1_512	U3U7S4
NZ_CP034778.1_514	D8K366
NZ_CP034778.1_516	U3U618
NZ_CP034778.1_518	I4B2X1
NZ_CP034778.1_520	S6BQT6
NZ_CP034778.1_522	D1C6C7
NZ_CP034778.1_523	S6BHD4
NZ_CP034778.1_525	B9L1B0
NZ_CP034778.1_526	C9RJI2
NZ_CP034778.1_527	D1CGW0
NZ_CP034778.1_528	F8C5X7
NZ_CP034778.1_529	B5YJT7
NZ_CP034778.1_530	S6CEV5
NZ_CP034778.1_531	S6BGW8
NZ_CP034778.1_532	U3U5W5
NZ_CP034778.1_533	I3ZMF0
NZ_CP034778.1_535	I3ZME6
NZ_CP034778.1_536	Q01ZG8
NZ_CP034778.1_537	G8QX14
NZ_CP034778.1_538	E4TEK7
NZ_CP034778.1_542	E6W746
NZ_CP034778.1_545	E6W7B0
NZ_CP034778.1_552	I4B741
NZ_CP034778.1_553	G8P1P8
NZ_CP034778.1_554	Q01US7
NZ_CP034778.1_555	I6YYC5
NZ_CP034778.1_556	I4BYS6
NZ_CP034778.1_558	I4BU84
NZ_CP034778.1_559	A9WFR9
NZ_CP034778.1_560	R4U6U3
NZ_CP034778.1_562	B0SN53
NZ_CP034778.1_563	D1C2A8
NZ_CP034778.1_564	H9UH30
NZ_CP034778.1_565	B0SSQ8
NZ_CP034778.1_566	E1R7F9
NZ_CP034778.1_567	D1CGT3
NZ_CP034778.1_568	E1R7G3
NZ_CP034778.1_569	E1R7G2
NZ_CP034778.1_570	E1R7G1
NZ_CP034778.1_571	E1R7G0
NZ_CP034778.1_572	F5YPQ9
NZ_CP034778.1_573	G0GBR1
NZ_CP034778.1_574	S0EV18
NZ_CP034778.1_575	C1F449
NZ_CP034778.1_576	C1ADV1
NZ_CP034778.1_577	G8QX21
NZ_CP034778.1_578	I0I651
NZ_CP034778.1_579	I0I650
NZ_CP034778.1_580	I0I649
NZ_CP034778.1_581	D4M9H4
NZ_CP034778.1_582	A9WGV4
NZ_CP034778.1_583	A9WKL9
NZ_CP034778.1_585	H1XT08
NZ_CP034778.1_586	G7V6C3
NZ_CP034778.1_587	I4BU29
NZ_CP034778.1_588	I4BU30
NZ_CP034778.1_589	G7V6B3
NZ_CP034778.1_590	G7V6B4
NZ_CP034778.1_591	Q1IMB3
NZ_CP034778.1_595	B0SK10
NZ_CP034778.1_596	Q01NL0
NZ_CP034778.1_599	E8V174
NZ_CP034778.1_600	U3U5W7
NZ_CP034778.1_601	U3U2D0
NZ_CP034778.1_602	U3U7B8
NZ_CP034778.1_603	U3U962
NZ_CP034778.1_605	I0HZB2
NZ_CP034778.1_608	I0HZB8
NZ_CP034778.1_609	A9AZE7
NZ_CP034778.1_610	B1ZP08
NZ_CP034778.1_611	A9AZE9
NZ_CP034778.1_612	S6BAT0
NZ_CP034778.1_613	U3U7M3
NZ_CP034778.1_614	I4B5M9
NZ_CP034778.1_615	U3U5X0
NZ_CP034778.1_616	S6BAP2
NZ_CP034778.1_617	G2LJM7
NZ_CP034778.1_618	S6BUW5
NZ_CP034778.1_619	U3U2D4
NZ_CP034778.1_622	U3U7C2
NZ_CP034778.1_623	B2KBI3
NZ_CP034778.1_624	C1F551
NZ_CP034778.1_625	I3ZMB6
NZ_CP034778.1_627	S6BT77
NZ_CP034778.1_628	U3U966
NZ_CP034778.1_630	G2LH29
NZ_CP034778.1_632	S6CFH4
NZ_CP034778.1_634	D5EQJ2
NZ_CP034778.1_635	D8K2K0
NZ_CP034778.1_636	C1A978
NZ_CP034778.1_638	B1ZVG2
NZ_CP034778.1_639	S6BBQ8
NZ_CP034778.1_640	F5YL24
NZ_CP034778.1_641	D3PB36
NZ_CP034778.1_642	S6BH11
NZ_CP034778.1_644	D1CGK7
NZ_CP034778.1_645	D4H846
NZ_CP034778.1_646	D4H845
NZ_CP034778.1_647	I4B741
NZ_CP034778.1_648	U3U5X2
NZ_CP034778.1_649	S6BK60
NZ_CP034778.1_650	E8X5J6
NZ_CP034778.1_651	I6ZMW0
NZ_CP034778.1_652	F8F4B6
NZ_CP034778.1_653	I6Z8U6
NZ_CP034778.1_654	D8PAU7
NZ_CP034778.1_655	Q020Y9
NZ_CP034778.1_657	Q8F0Y5
NZ_CP034778.1_659	Q01QL8
NZ_CP034778.1_660	E8N500
NZ_CP034778.1_664	D8PJ67
NZ_CP034778.1_665	G8NVK5
NZ_CP034778.1_666	I0ALI8
NZ_CP034778.1_667	A9B771
NZ_CP034778.1_678	C0R1I4
NZ_CP034778.1_679	B2KDG6
NZ_CP034778.1_680	B2KBL4
NZ_CP034778.1_681	E6W5F9
NZ_CP034778.1_682	U3U975
NZ_CP034778.1_683	U3U7D0
NZ_CP034778.1_684	S6BEX1
NZ_CP034778.1_687	U3U5X9
NZ_CP034778.1_688	S6C0E0
NZ_CP034778.1_689	S6BA74
NZ_CP034778.1_691	G2LEU6
NZ_CP034778.1_699	A9AVI5
NZ_CP034778.1_700	D8PIP7
NZ_CP034778.1_702	U3U972
NZ_CP034778.1_703	S6BEB9
NZ_CP034778.1_704	U3U5Y3
NZ_CP034778.1_705	S6BL51
NZ_CP034778.1_706	E6W6Y1
NZ_CP034778.1_707	S6B9M0
NZ_CP034778.1_708	U3U2F5
NZ_CP034778.1_709	U3U7D7
NZ_CP034778.1_710	S6BEV1
NZ_CP034778.1_711	U3U2D9
NZ_CP034778.1_712	I3ZMQ2
NZ_CP034778.1_713	D1CCT5
NZ_CP034778.1_715	I0GKX7
NZ_CP034778.1_716	B0VFA8
NZ_CP034778.1_717	D1CI28
NZ_CP034778.1_719	D1C9Y9
NZ_CP034778.1_720	Q01X90
NZ_CP034778.1_722	A9WHX2
NZ_CP034778.1_723	E8MY46
NZ_CP034778.1_724	D1C6K6
NZ_CP034778.1_725	D1C8S4
NZ_CP034778.1_726	B9KY20
NZ_CP034778.1_728	I4BTT3
NZ_CP034778.1_729	U3U775
NZ_CP034778.1_730	H1XQ73
NZ_CP034778.1_731	U3U5J1
NZ_CP034778.1_732	U3U1V7
NZ_CP034778.1_733	S6BU21
NZ_CP034778.1_734	F0RY78
NZ_CP034778.1_735	B9L139
NZ_CP034778.1_736	G8QX73
NZ_CP034778.1_737	U3U6Y6
NZ_CP034778.1_738	U3U8X0
NZ_CP034778.1_739	S6CH07
NZ_CP034778.1_740	U3U5J5
NZ_CP034778.1_742	U3U1W1
NZ_CP034778.1_743	S6CH06
NZ_CP034778.1_743	S6CH06
NZ_CP034778.1_744	S6CH06
NZ_CP034778.1_745	S6CH04
NZ_CP034778.1_746	S6BVT1
NZ_CP034778.1_747	Q8F937
NZ_CP034778.1_748	Q027S8
NZ_CP034778.1_749	Q6MSY7
NZ_CP034778.1_752	D8PIW6
NZ_CP034778.1_753	G2LKQ4
NZ_CP034778.1_755	F4LLZ9
NZ_CP034778.1_758	A9AXP1
NZ_CP034778.1_759	S6BYU1
NZ_CP034778.1_762	E1R8I5
NZ_CP034778.1_763	S6BBV7
NZ_CP034778.1_764	S6BS35
NZ_CP034778.1_765	S6BJ53
NZ_CP034778.1_766	U3U1W6
NZ_CP034778.1_767	U3U6Z6
NZ_CP034778.1_768	H1XYN8
NZ_CP034778.1_769	B0VH08
NZ_CP034778.1_776	A5UVA7
NZ_CP034778.1_777	D8PGX1
NZ_CP034778.1_778	D4H546
NZ_CP034778.1_780	I7A3M1
NZ_CP034778.1_782	D1CH73
NZ_CP034778.1_783	A9WAP9
NZ_CP034778.1_785	D4MAD1
NZ_CP034778.1_785	D4MAD1
NZ_CP034778.1_787	F5YKV5
NZ_CP034778.1_788	D4MA22
NZ_CP034778.1_789	F5YKV3
NZ_CP034778.1_790	F5YKV2
NZ_CP034778.1_791	F5YKV1
NZ_CP034778.1_795	B1ZNZ6
NZ_CP034778.1_796	Q56561
NZ_CP034778.1_799	I0HZB8
NZ_CP034778.1_800	F8A815
NZ_CP034778.1_801	F8A816
NZ_CP034778.1_802	B5YH08
NZ_CP034778.1_804	F8AAD8
NZ_CP034778.1_807	Q1IM05
NZ_CP034778.1_808	B3DUF1
NZ_CP034778.1_809	D5EHH8
NZ_CP034778.1_810	A9WHI1
NZ_CP034778.1_814	Q1IP01
NZ_CP034778.1_816	Q021U8
NZ_CP034778.1_817	Q8EVP7
NZ_CP034778.1_818	B2UN16
NZ_CP034778.1_820	C1AAC8
NZ_CP034778.1_822	E3D0T4
NZ_CP034778.1_823	C1F6X2
NZ_CP034778.1_824	J9ZEP4
NZ_CP034778.1_825	S6BX29
NZ_CP034778.1_826	Q02C32
NZ_CP034778.1_828	D8PI44
NZ_CP034778.1_829	G8NRH5
NZ_CP034778.1_830	G8NRH4
NZ_CP034778.1_833	A9NEL9
NZ_CP034778.1_834	I4B8N8
NZ_CP034778.1_842	B5YFZ8
NZ_CP034778.1_843	B5YGX8
NZ_CP034778.1_845	A9B7E9
NZ_CP034778.1_846	Q1IKC7
NZ_CP034778.1_856	E8V3Y6
NZ_CP034778.1_857	B1GYX5
NZ_CP034778.1_859	E8N224
NZ_CP034778.1_860	C1FAB1
NZ_CP034778.1_863	B1ZP51
NZ_CP034778.1_864	U3U2F5
NZ_CP034778.1_865	A9WJN2
NZ_CP034778.1_867	D1CHI3
NZ_CP034778.1_869	F0RT99
NZ_CP034778.1_870	I0AIU5
NZ_CP034778.1_871	F0RXR8
NZ_CP034778.1_872	F0RT98
NZ_CP034778.1_873	F0RUL2
NZ_CP034778.1_874	F8E6A0
NZ_CP034778.1_875	C1F7X5
NZ_CP034778.1_876	U3U8X7
NZ_CP034778.1_877	E3CV71
NZ_CP034778.1_878	S5LVN8
NZ_CP034778.1_879	Q6F139
NZ_CP034778.1_880	G8P1P8
NZ_CP034778.1_882	A9AZG1
NZ_CP034778.1_883	B2KDG9
NZ_CP034778.1_884	Q02BH3
NZ_CP034778.1_885	I4B0P3
NZ_CP034778.1_887	D8PJ92
NZ_CP034778.1_888	U3U791
NZ_CP034778.1_889	U3U5K2
NZ_CP034778.1_890	U3U1X1
NZ_CP034778.1_891	U3U6Z9
NZ_CP034778.1_892	U3U8Y0
NZ_CP034778.1_897	F8E602
NZ_CP034778.1_899	D4H410
NZ_CP034778.1_900	D4H409
NZ_CP034778.1_902	U3U8Y3
NZ_CP034778.1_903	S6BRZ4
NZ_CP034778.1_904	G7V603
NZ_CP034778.1_905	G7V680
NZ_CP034778.1_906	Q73P66
NZ_CP034778.1_907	D1B7S3
NZ_CP034778.1_908	G7V6A7
NZ_CP034778.1_909	I6Z985
NZ_CP034778.1_910	D1B7S1
NZ_CP034778.1_911	F0RV70
NZ_CP034778.1_912	H1XR93
NZ_CP034778.1_913	G7V6C3
NZ_CP034778.1_914	B1ZR92
NZ_CP034778.1_916	D1B7R3
NZ_CP034778.1_918	I4BU27
NZ_CP034778.1_920	G7V6B4
NZ_CP034778.1_921	I4BU31
NZ_CP034778.1_922	I4BU30
NZ_CP034778.1_923	I4BU29
NZ_CP034778.1_924	E3CV98
NZ_CP034778.1_925	I4BU27
NZ_CP034778.1_926	Q1IMB3
NZ_CP034778.1_927	B1ZVT0
NZ_CP034778.1_928	G8NS98
NZ_CP034778.1_929	G7V602
NZ_CP034778.1_930	Q73K10
NZ_CP034778.1_931	H0ULM7
NZ_CP034778.1_932	Q8EXP8
NZ_CP034778.1_933	Q73K48
NZ_CP034778.1_934	S5ZYI0
NZ_CP034778.1_935	Q73Q29
NZ_CP034778.1_936	Q73Q21
NZ_CP034778.1_937	S5ZZG7
NZ_CP034778.1_938	E1R8I6
NZ_CP034778.1_939	J9ZAZ7
NZ_CP034778.1_940	A5UQS9
NZ_CP034778.1_941	I0I598
NZ_CP034778.1_942	A9WIQ4
NZ_CP034778.1_943	A5UQT2
NZ_CP034778.1_944	G7V681
NZ_CP034778.1_945	S5ZUU8
NZ_CP034778.1_946	E6W0R4
NZ_CP034778.1_947	E6W4E7
NZ_CP034778.1_948	D5EMX0
NZ_CP034778.1_949	I6ZZP3
NZ_CP034778.1_950	B0SSD0
NZ_CP034778.1_952	G8NSV2
NZ_CP034778.1_953	I0AGF5
NZ_CP034778.1_955	G8QUJ9
NZ_CP034778.1_956	B2UPN2
NZ_CP034778.1_957	B2UN37
NZ_CP034778.1_958	B2UN39
NZ_CP034778.1_959	C1F5U4
NZ_CP034778.1_960	C0QZG3
NZ_CP034778.1_961	F4LLA1
NZ_CP034778.1_962	I6ZUV3
NZ_CP034778.1_963	D8PFF7
