id,pI,M
NZ_CP034778.1_95,8.8346,57216.17
NZ_CP034778.1_97,8.7857,48630.77
NZ_CP034778.1_98,7.9640,41944.49
NZ_CP034778.1_99,5.5478,56026.63
NZ_CP034778.1_100,6.2204,29807.90
NZ_CP034778.1_102,8.5891,36575.23
NZ_CP034778.1_103,8.9121,28551.77
NZ_CP034778.1_104,9.4618,46053.92
NZ_CP034778.1_105,6.0954,26909.71
NZ_CP034778.1_108,5.6507,27857.02
NZ_CP034778.1_109,5.4726,36024.54
NZ_CP034778.1_110,6.9450,76488.20
NZ_CP034778.1_111,8.4839,25514.28
NZ_CP034778.1_112,9.0012,79492.63
NZ_CP034778.1_113,4.5719,10236.57
NZ_CP034778.1_114,6.9006,23298.36
NZ_CP034778.1_115,10.6517,62623.71
NZ_CP034778.1_116,9.3787,22042.45
NZ_CP034778.1_118,4.7831,33025.74
NZ_CP034778.1_119,7.2402,64703.23
NZ_CP034778.1_120,8.0203,36048.62
NZ_CP034778.1_121,8.4639,34619.95
NZ_CP034778.1_122,5.6712,40090.64
NZ_CP034778.1_123,5.4107,25269.88
NZ_CP034778.1_124,5.7250,23652.07
NZ_CP034778.1_125,9.0939,22824.39
NZ_CP034778.1_126,5.5665,16162.58
NZ_CP034778.1_127,7.6097,43465.08
NZ_CP034778.1_128,7.1462,25013.01
NZ_CP034778.1_129,11.9609,9006.49
NZ_CP034778.1_130,10.8560,6405.62
NZ_CP034778.1_131,9.1841,30285.09
NZ_CP034778.1_132,7.8112,17662.55
NZ_CP034778.1_133,8.5921,29169.20
NZ_CP034778.1_134,10.0300,47686.55
NZ_CP034778.1_135,7.7631,38826.28
NZ_CP034778.1_136,9.3286,40985.04
NZ_CP034778.1_137,8.7540,42632.11
NZ_CP034778.1_138,9.4410,40351.70
NZ_CP034778.1_143,9.6565,35984.14
NZ_CP034778.1_144,8.1253,37906.71
NZ_CP034778.1_145,4.5493,34953.22
NZ_CP034778.1_146,5.8303,43156.16
NZ_CP034778.1_147,6.1806,37226.91
NZ_CP034778.1_148,8.3474,29761.15
NZ_CP034778.1_149,10.1152,34880.05
NZ_CP034778.1_150,10.3984,46356.20
NZ_CP034778.1_151,5.1721,56021.91
NZ_CP034778.1_152,10.3177,15586.22
NZ_CP034778.1_153,6.4972,9148.52
NZ_CP034778.1_154,3.9680,17190.31
NZ_CP034778.1_155,6.9494,36232.74
NZ_CP034778.1_156,6.4335,29305.70
NZ_CP034778.1_157,6.9560,17461.04
NZ_CP034778.1_158,6.7244,42989.17
NZ_CP034778.1_159,6.5168,28941.83
NZ_CP034778.1_160,9.6775,59310.51
NZ_CP034778.1_164,5.6060,41157.99
NZ_CP034778.1_165,6.3866,67732.95
NZ_CP034778.1_167,6.8353,50619.13
NZ_CP034778.1_168,7.5024,68527.47
NZ_CP034778.1_169,7.9772,17407.28
NZ_CP034778.1_170,4.8251,47010.37
NZ_CP034778.1_171,6.2773,75945.33
NZ_CP034778.1_172,10.4488,21294.19
NZ_CP034778.1_173,6.7969,44987.33
NZ_CP034778.1_174,10.7993,40917.80
NZ_CP034778.1_175,6.4662,56391.18
NZ_CP034778.1_176,5.0988,35898.26
NZ_CP034778.1_177,6.0554,49881.00
NZ_CP034778.1_178,5.9850,52047.50
NZ_CP034778.1_180,5.6908,16376.07
NZ_CP034778.1_183,4.7534,34732.39
NZ_CP034778.1_184,5.2453,76331.31
NZ_CP034778.1_185,10.6229,40885.80
NZ_CP034778.1_187,6.8301,59072.39
NZ_CP034778.1_188,5.7201,7403.28
NZ_CP034778.1_190,10.1381,48082.55
NZ_CP034778.1_192,6.1860,35422.56
NZ_CP034778.1_193,9.3460,46837.10
NZ_CP034778.1_194,5.0772,33114.61
NZ_CP034778.1_196,8.8026,37087.63
NZ_CP034778.1_197,10.3022,22384.41
NZ_CP034778.1_198,6.2797,85460.47
NZ_CP034778.1_199,4.7381,16840.97
NZ_CP034778.1_200,6.2308,21630.48
NZ_CP034778.1_202,9.3434,42429.07
NZ_CP034778.1_203,8.8525,63844.63
NZ_CP034778.1_204,4.9764,48586.53
NZ_CP034778.1_205,6.9531,60144.47
NZ_CP034778.1_206,9.6722,37419.01
NZ_CP034778.1_207,6.7821,32196.34
NZ_CP034778.1_208,6.8652,35764.30
NZ_CP034778.1_209,9.4426,37674.59
NZ_CP034778.1_212,9.1672,57105.01
NZ_CP034778.1_213,8.8897,24234.14
NZ_CP034778.1_214,5.2889,87781.61
NZ_CP034778.1_215,6.6409,144998.01
NZ_CP034778.1_217,9.7125,37685.24
NZ_CP034778.1_223,9.1992,99311.66
NZ_CP034778.1_224,5.4321,85186.67
NZ_CP034778.1_225,5.7820,40901.27
NZ_CP034778.1_226,6.3227,127092.56
NZ_CP034778.1_227,6.7373,75015.75
NZ_CP034778.1_228,9.2810,45370.14
NZ_CP034778.1_229,5.8462,55755.42
NZ_CP034778.1_230,4.6430,33955.29
NZ_CP034778.1_232,9.9873,46999.81
NZ_CP034778.1_234,8.0945,33305.60
NZ_CP034778.1_235,5.3579,26642.44
NZ_CP034778.1_236,6.6717,20153.82
NZ_CP034778.1_237,4.8849,63756.50
NZ_CP034778.1_238,4.7215,41932.17
NZ_CP034778.1_240,6.1963,48661.48
NZ_CP034778.1_241,8.6443,32005.66
NZ_CP034778.1_242,9.5544,46173.42
NZ_CP034778.1_243,4.9433,76687.63
NZ_CP034778.1_244,6.6835,26843.92
NZ_CP034778.1_245,8.8367,53469.98
NZ_CP034778.1_248,10.1356,53361.11
NZ_CP034778.1_249,6.8900,28857.34
NZ_CP034778.1_251,6.7195,41276.10
NZ_CP034778.1_252,7.5396,36693.56
NZ_CP034778.1_253,6.2794,74109.69
NZ_CP034778.1_254,6.4034,33351.10
NZ_CP034778.1_255,9.7535,61944.67
NZ_CP034778.1_258,11.2113,38506.12
NZ_CP034778.1_263,5.6080,77072.09
NZ_CP034778.1_267,7.0587,21950.97
NZ_CP034778.1_268,4.1542,54955.93
NZ_CP034778.1_269,9.8687,24245.05
NZ_CP034778.1_270,9.0663,38365.40
NZ_CP034778.1_271,5.5099,32637.05
NZ_CP034778.1_272,8.4602,56212.46
NZ_CP034778.1_273,6.0033,44926.38
NZ_CP034778.1_274,9.4016,44415.88
NZ_CP034778.1_275,6.5311,38631.01
NZ_CP034778.1_277,7.0590,39426.92
NZ_CP034778.1_278,8.5781,33012.34
NZ_CP034778.1_279,10.0841,46408.51
NZ_CP034778.1_280,7.2170,28410.84
NZ_CP034778.1_281,6.0320,26209.09
NZ_CP034778.1_284,8.4872,48212.63
NZ_CP034778.1_285,9.0606,33021.77
NZ_CP034778.1_286,8.9221,31439.78
NZ_CP034778.1_287,9.8644,39701.01
NZ_CP034778.1_288,5.8970,27151.08
NZ_CP034778.1_290,6.0007,62008.47
NZ_CP034778.1_291,6.7963,18517.27
NZ_CP034778.1_293,6.2755,38915.96
NZ_CP034778.1_294,5.1250,26237.37
NZ_CP034778.1_295,6.7975,36596.30
NZ_CP034778.1_296,6.5102,19436.03
NZ_CP034778.1_297,7.0837,43684.45
NZ_CP034778.1_298,5.7244,39877.79
NZ_CP034778.1_299,6.6057,83850.14
NZ_CP034778.1_300,6.0202,73647.52
NZ_CP034778.1_301,6.2957,48520.61
NZ_CP034778.1_302,6.4632,53004.55
NZ_CP034778.1_303,5.3789,93579.11
NZ_CP034778.1_306,7.2919,56668.61
NZ_CP034778.1_309,5.8131,27910.78
NZ_CP034778.1_310,6.4659,103125.34
NZ_CP034778.1_311,6.9135,90059.50
NZ_CP034778.1_312,6.7902,78568.53
NZ_CP034778.1_313,8.8065,46135.75
NZ_CP034778.1_314,4.2221,21004.64
NZ_CP034778.1_315,10.8939,25391.85
NZ_CP034778.1_316,5.9377,28263.75
NZ_CP034778.1_319,6.0659,83924.91
NZ_CP034778.1_321,6.2959,85083.98
NZ_CP034778.1_322,8.8954,23524.03
NZ_CP034778.1_323,6.3105,27353.62
NZ_CP034778.1_324,7.3927,50514.37
NZ_CP034778.1_325,5.4917,59547.26
NZ_CP034778.1_326,4.1538,32376.34
NZ_CP034778.1_327,10.5418,15650.03
NZ_CP034778.1_328,5.5323,26007.51
NZ_CP034778.1_330,4.4917,21140.16
NZ_CP034778.1_331,7.6305,93424.94
NZ_CP034778.1_335,9.4090,45236.02
NZ_CP034778.1_336,4.7569,19485.97
NZ_CP034778.1_337,5.4176,39199.17
NZ_CP034778.1_339,9.1222,32000.52
NZ_CP034778.1_340,5.2641,24379.03
NZ_CP034778.1_341,4.3359,27438.25
NZ_CP034778.1_342,6.7207,37504.91
NZ_CP034778.1_343,6.2533,49979.40
NZ_CP034778.1_345,6.4747,92903.94
NZ_CP034778.1_347,5.7268,48972.73
NZ_CP034778.1_348,9.2887,43395.68
NZ_CP034778.1_349,9.4202,20389.20
NZ_CP034778.1_351,5.6346,22887.10
NZ_CP034778.1_352,5.8048,20571.54
NZ_CP034778.1_353,6.5561,43583.79
NZ_CP034778.1_355,8.4639,23656.43
NZ_CP034778.1_356,6.3449,14542.76
NZ_CP034778.1_357,6.7107,32400.00
NZ_CP034778.1_359,8.0213,39005.79
NZ_CP034778.1_360,5.5642,71240.74
NZ_CP034778.1_361,6.8844,21324.36
NZ_CP034778.1_362,6.8547,65959.83
NZ_CP034778.1_364,4.7535,20743.65
NZ_CP034778.1_366,9.3376,29476.55
NZ_CP034778.1_367,5.3203,26810.57
NZ_CP034778.1_368,5.0497,13854.61
NZ_CP034778.1_371,11.4942,13751.09
NZ_CP034778.1_372,10.9797,17618.41
NZ_CP034778.1_373,4.9454,77543.21
NZ_CP034778.1_374,5.1326,43246.45
NZ_CP034778.1_376,4.3436,18324.94
NZ_CP034778.1_378,10.5450,11766.60
NZ_CP034778.1_379,10.6662,22238.48
NZ_CP034778.1_380,10.4450,22113.55
NZ_CP034778.1_381,10.6885,11213.15
NZ_CP034778.1_382,11.5541,29834.41
NZ_CP034778.1_383,11.2650,10416.26
NZ_CP034778.1_384,10.9273,12196.22
NZ_CP034778.1_385,11.0146,25839.06
NZ_CP034778.1_386,11.6744,15250.08
NZ_CP034778.1_387,11.0383,7243.47
NZ_CP034778.1_388,10.4313,9703.48
NZ_CP034778.1_389,11.1458,13555.05
NZ_CP034778.1_390,11.0010,11316.21
NZ_CP034778.1_391,10.0218,20301.57
NZ_CP034778.1_392,11.8999,11578.51
NZ_CP034778.1_393,9.9889,14098.53
NZ_CP034778.1_394,10.3065,18843.73
NZ_CP034778.1_395,11.0657,12769.63
NZ_CP034778.1_396,10.9903,17647.48
NZ_CP034778.1_397,11.6051,6513.74
NZ_CP034778.1_398,11.7454,15134.57
NZ_CP034778.1_399,10.3015,48580.75
NZ_CP034778.1_400,11.4239,13210.57
NZ_CP034778.1_401,10.6618,23502.14
NZ_CP034778.1_402,4.7025,36465.70
NZ_CP034778.1_403,11.6223,14445.70
NZ_CP034778.1_404,4.6653,13766.57
NZ_CP034778.1_405,7.4514,16194.34
NZ_CP034778.1_407,7.5409,15063.85
NZ_CP034778.1_408,6.0318,50267.61
NZ_CP034778.1_409,8.1539,48648.84
NZ_CP034778.1_410,6.2527,34022.18
NZ_CP034778.1_411,4.8728,19355.40
NZ_CP034778.1_412,7.0069,40480.54
NZ_CP034778.1_414,8.1352,20051.19
NZ_CP034778.1_415,5.0292,20716.48
NZ_CP034778.1_416,5.8262,29086.26
NZ_CP034778.1_418,6.5156,20180.11
NZ_CP034778.1_420,5.8544,112093.04
NZ_CP034778.1_421,6.0646,40431.77
NZ_CP034778.1_422,7.9445,24639.45
NZ_CP034778.1_423,9.8211,11239.93
NZ_CP034778.1_424,6.8486,35835.11
NZ_CP034778.1_425,4.1393,31872.18
NZ_CP034778.1_426,10.0494,51730.05
NZ_CP034778.1_428,6.9470,49314.68
NZ_CP034778.1_429,4.4005,16467.01
NZ_CP034778.1_430,6.7979,16428.77
NZ_CP034778.1_431,11.5859,23386.27
NZ_CP034778.1_432,9.0909,37077.65
NZ_CP034778.1_433,8.6208,73416.86
NZ_CP034778.1_434,4.9274,36952.40
NZ_CP034778.1_435,6.7957,35907.41
NZ_CP034778.1_436,10.9807,18660.56
NZ_CP034778.1_437,6.6785,20997.07
NZ_CP034778.1_438,5.9234,55544.40
NZ_CP034778.1_440,4.8060,51235.78
NZ_CP034778.1_441,8.5525,34262.81
NZ_CP034778.1_443,9.7639,34395.20
NZ_CP034778.1_444,9.7562,73221.21
NZ_CP034778.1_449,5.4330,32426.37
NZ_CP034778.1_450,5.9535,37123.45
NZ_CP034778.1_451,6.1786,47270.36
NZ_CP034778.1_453,6.7972,42495.85
NZ_CP034778.1_454,10.2275,16109.62
NZ_CP034778.1_455,11.5178,14856.20
NZ_CP034778.1_456,4.9814,24174.89
NZ_CP034778.1_457,4.0748,17981.08
NZ_CP034778.1_458,4.4466,24517.12
NZ_CP034778.1_459,5.0996,51910.11
NZ_CP034778.1_460,6.3774,163332.08
NZ_CP034778.1_461,8.6290,34514.51
NZ_CP034778.1_462,9.7887,38964.69
NZ_CP034778.1_464,6.4134,34798.05
NZ_CP034778.1_465,5.0665,40528.41
NZ_CP034778.1_466,4.7330,87743.72
NZ_CP034778.1_467,4.4280,22842.46
NZ_CP034778.1_468,10.4027,27001.43
NZ_CP034778.1_469,4.0653,9807.17
NZ_CP034778.1_470,6.9575,32541.29
NZ_CP034778.1_471,4.9982,17704.27
NZ_CP034778.1_472,7.9034,10759.36
NZ_CP034778.1_473,4.3528,53924.89
NZ_CP034778.1_474,5.9162,26842.76
NZ_CP034778.1_477,5.2762,20401.47
NZ_CP034778.1_478,5.7204,35113.54
NZ_CP034778.1_479,5.2750,34601.59
NZ_CP034778.1_480,7.2356,29460.17
NZ_CP034778.1_481,10.3652,27790.20
NZ_CP034778.1_482,4.8099,19696.30
NZ_CP034778.1_483,9.8701,23925.64
NZ_CP034778.1_484,4.6820,10421.90
NZ_CP034778.1_485,6.5110,9571.95
NZ_CP034778.1_486,5.6796,44585.26
NZ_CP034778.1_488,4.4639,35209.93
NZ_CP034778.1_489,10.5260,11562.38
NZ_CP034778.1_490,11.4869,9123.53
NZ_CP034778.1_492,4.5034,43577.16
NZ_CP034778.1_493,8.9687,51409.72
NZ_CP034778.1_494,4.4783,17733.96
NZ_CP034778.1_495,10.7341,12316.47
NZ_CP034778.1_496,9.8153,23304.94
NZ_CP034778.1_497,5.9581,71144.48
NZ_CP034778.1_498,6.4370,30427.00
NZ_CP034778.1_499,5.9583,47904.93
NZ_CP034778.1_500,5.6824,11205.89
NZ_CP034778.1_504,5.3548,49812.40
NZ_CP034778.1_506,4.3560,15568.73
NZ_CP034778.1_507,4.2473,54937.06
NZ_CP034778.1_508,5.8487,98075.67
NZ_CP034778.1_509,7.5298,15096.45
NZ_CP034778.1_510,5.8149,34891.86
NZ_CP034778.1_511,11.1206,10208.76
NZ_CP034778.1_512,4.8141,76845.55
NZ_CP034778.1_514,10.6732,41087.05
NZ_CP034778.1_516,8.8079,72174.84
NZ_CP034778.1_518,6.5666,37002.14
NZ_CP034778.1_520,7.3245,37022.14
NZ_CP034778.1_522,4.2439,18545.75
NZ_CP034778.1_523,9.8311,12272.05
NZ_CP034778.1_525,4.5634,19250.86
NZ_CP034778.1_526,8.2667,23366.89
NZ_CP034778.1_527,9.6951,37059.53
NZ_CP034778.1_528,9.9147,20065.91
NZ_CP034778.1_529,5.2186,21092.07
NZ_CP034778.1_530,10.4440,14464.34
NZ_CP034778.1_531,5.9299,75028.58
NZ_CP034778.1_532,6.1851,31558.20
NZ_CP034778.1_533,5.2153,56125.21
NZ_CP034778.1_535,8.9726,48652.78
NZ_CP034778.1_536,6.3946,27261.13
NZ_CP034778.1_537,5.6796,30683.74
NZ_CP034778.1_538,5.6109,39816.43
NZ_CP034778.1_542,5.8732,25776.14
NZ_CP034778.1_545,6.5120,37656.29
NZ_CP034778.1_552,10.0033,24706.62
NZ_CP034778.1_553,5.4067,29993.10
NZ_CP034778.1_554,9.5982,47000.40
NZ_CP034778.1_555,5.7303,53783.02
NZ_CP034778.1_556,5.8689,54096.13
NZ_CP034778.1_558,8.2127,43479.75
NZ_CP034778.1_559,9.9929,36020.12
NZ_CP034778.1_560,5.9936,36224.16
NZ_CP034778.1_562,5.6779,21205.36
NZ_CP034778.1_563,4.8485,25575.17
NZ_CP034778.1_564,5.9661,41832.55
NZ_CP034778.1_565,6.8204,72265.90
NZ_CP034778.1_566,5.3188,57615.78
NZ_CP034778.1_567,5.8470,34490.76
NZ_CP034778.1_568,6.6450,54360.58
NZ_CP034778.1_569,10.7420,36065.98
NZ_CP034778.1_570,9.5455,34848.59
NZ_CP034778.1_571,8.5723,35900.13
NZ_CP034778.1_572,6.3635,32411.11
NZ_CP034778.1_573,5.6800,11517.27
NZ_CP034778.1_574,6.2512,49487.15
NZ_CP034778.1_575,7.4357,20784.44
NZ_CP034778.1_576,5.2120,29071.92
NZ_CP034778.1_577,4.7546,57408.34
NZ_CP034778.1_578,4.5301,50378.43
NZ_CP034778.1_579,5.9368,22726.93
NZ_CP034778.1_580,4.6199,38327.44
NZ_CP034778.1_581,5.0911,38989.85
NZ_CP034778.1_582,6.6372,70942.88
NZ_CP034778.1_583,8.6930,19715.39
NZ_CP034778.1_585,6.3501,41465.60
NZ_CP034778.1_586,5.7864,15023.28
NZ_CP034778.1_587,4.4147,60659.78
NZ_CP034778.1_588,7.0418,21341.47
NZ_CP034778.1_589,8.4889,16104.37
NZ_CP034778.1_590,4.6624,63605.36
NZ_CP034778.1_591,7.4222,28015.13
NZ_CP034778.1_595,7.1940,119483.58
NZ_CP034778.1_596,5.7366,22634.87
NZ_CP034778.1_599,9.2738,18635.38
NZ_CP034778.1_600,4.4045,70397.45
NZ_CP034778.1_601,5.7267,65420.56
NZ_CP034778.1_602,11.7235,8499.96
NZ_CP034778.1_603,5.9797,36018.37
NZ_CP034778.1_605,4.6752,21944.05
NZ_CP034778.1_608,5.0312,60290.59
NZ_CP034778.1_609,7.7310,11695.25
NZ_CP034778.1_610,5.1712,11086.94
NZ_CP034778.1_611,6.7820,30202.92
NZ_CP034778.1_612,10.6029,22068.32
NZ_CP034778.1_613,4.3954,14093.06
NZ_CP034778.1_614,8.6892,29508.51
NZ_CP034778.1_615,7.3760,45985.73
NZ_CP034778.1_616,10.0264,23097.41
NZ_CP034778.1_617,5.8823,48283.02
NZ_CP034778.1_618,5.0778,107496.34
NZ_CP034778.1_619,4.8530,51165.58
NZ_CP034778.1_622,4.7486,23433.50
NZ_CP034778.1_623,6.5097,26346.60
NZ_CP034778.1_624,6.1130,28988.13
NZ_CP034778.1_625,4.4082,44541.51
NZ_CP034778.1_627,5.5115,53262.95
NZ_CP034778.1_628,4.7193,23683.73
NZ_CP034778.1_630,5.8706,30672.75
NZ_CP034778.1_632,5.3573,70075.63
NZ_CP034778.1_634,5.9363,21809.72
NZ_CP034778.1_635,7.4670,50818.23
NZ_CP034778.1_636,6.6376,24342.07
NZ_CP034778.1_638,7.9563,33181.45
NZ_CP034778.1_639,6.5769,83594.14
NZ_CP034778.1_640,10.1698,27265.96
NZ_CP034778.1_641,7.6576,51956.39
NZ_CP034778.1_642,9.3451,82324.63
NZ_CP034778.1_644,6.4467,30744.01
NZ_CP034778.1_645,5.1440,42293.13
NZ_CP034778.1_646,7.2815,33696.10
NZ_CP034778.1_647,9.5590,24036.94
NZ_CP034778.1_648,6.3198,43192.24
NZ_CP034778.1_649,9.7689,25926.05
NZ_CP034778.1_650,4.7253,15606.21
NZ_CP034778.1_651,9.5210,52193.40
NZ_CP034778.1_652,5.2481,26250.72
NZ_CP034778.1_653,6.5048,29638.92
NZ_CP034778.1_654,7.8799,18637.24
NZ_CP034778.1_655,6.7980,32694.13
NZ_CP034778.1_657,6.2587,32350.38
NZ_CP034778.1_659,6.1455,70431.11
NZ_CP034778.1_660,5.3192,43830.21
NZ_CP034778.1_664,5.6842,21158.04
NZ_CP034778.1_665,7.5043,33474.62
NZ_CP034778.1_666,6.4078,41595.17
NZ_CP034778.1_667,5.7536,50062.74
NZ_CP034778.1_678,9.1257,24622.01
NZ_CP034778.1_679,6.0873,79603.75
NZ_CP034778.1_680,8.3000,46265.98
NZ_CP034778.1_681,9.5819,40440.81
NZ_CP034778.1_682,6.2513,10919.50
NZ_CP034778.1_683,7.8280,39555.54
NZ_CP034778.1_684,7.7933,27013.00
NZ_CP034778.1_687,5.1324,42449.87
NZ_CP034778.1_688,4.7586,20914.56
NZ_CP034778.1_689,9.8170,10294.05
NZ_CP034778.1_691,6.8881,25378.04
NZ_CP034778.1_699,8.8547,21466.77
NZ_CP034778.1_700,6.8370,34936.32
NZ_CP034778.1_702,7.7870,14998.12
NZ_CP034778.1_703,4.7320,20802.91
NZ_CP034778.1_704,4.9465,35578.03
NZ_CP034778.1_705,6.6309,26749.82
NZ_CP034778.1_706,9.0386,26576.96
NZ_CP034778.1_707,10.5621,18047.78
NZ_CP034778.1_708,9.9459,50868.40
NZ_CP034778.1_709,4.8873,41907.57
NZ_CP034778.1_710,4.5525,73798.16
NZ_CP034778.1_711,4.9010,33513.97
NZ_CP034778.1_712,10.1111,43487.03
NZ_CP034778.1_713,4.0364,12016.41
NZ_CP034778.1_715,7.0852,39104.37
NZ_CP034778.1_716,6.9467,26493.32
NZ_CP034778.1_717,6.0369,29355.41
NZ_CP034778.1_719,5.9969,43494.34
NZ_CP034778.1_720,10.0177,45189.83
NZ_CP034778.1_722,6.5153,27826.66
NZ_CP034778.1_723,6.0330,28439.47
NZ_CP034778.1_724,6.5099,26788.67
NZ_CP034778.1_725,6.5147,52398.02
NZ_CP034778.1_726,6.2451,57934.23
NZ_CP034778.1_728,6.6767,26847.25
NZ_CP034778.1_729,5.5931,71819.23
NZ_CP034778.1_730,6.5075,37464.62
NZ_CP034778.1_731,4.8370,41133.24
NZ_CP034778.1_732,6.0066,39142.31
NZ_CP034778.1_733,7.6684,30947.01
NZ_CP034778.1_734,10.1111,23291.83
NZ_CP034778.1_735,7.7933,27097.79
NZ_CP034778.1_736,6.5149,33578.67
NZ_CP034778.1_737,5.2823,22735.24
NZ_CP034778.1_738,6.5111,43990.56
NZ_CP034778.1_739,7.6697,22891.42
NZ_CP034778.1_740,5.2320,12566.20
NZ_CP034778.1_742,4.8007,49304.76
NZ_CP034778.1_743,8.5133,42177.31
NZ_CP034778.1_744,7.1594,43829.25
NZ_CP034778.1_745,5.0014,39787.38
NZ_CP034778.1_746,3.7233,13861.30
NZ_CP034778.1_747,5.9622,104562.56
NZ_CP034778.1_748,7.5546,25717.28
NZ_CP034778.1_749,10.6432,30446.10
NZ_CP034778.1_752,6.7764,22218.55
NZ_CP034778.1_753,9.5646,72386.52
NZ_CP034778.1_755,5.4852,54966.07
NZ_CP034778.1_758,9.8045,23788.60
NZ_CP034778.1_759,5.2113,35647.46
NZ_CP034778.1_762,3.8433,19542.03
NZ_CP034778.1_763,9.5038,33967.11
NZ_CP034778.1_764,7.9864,25453.28
NZ_CP034778.1_765,5.3650,62992.29
NZ_CP034778.1_766,4.4461,35902.99
NZ_CP034778.1_767,4.8327,57560.31
NZ_CP034778.1_768,4.8365,20671.46
NZ_CP034778.1_769,10.4985,25448.03
NZ_CP034778.1_776,9.8892,48550.52
NZ_CP034778.1_777,9.2007,33884.12
NZ_CP034778.1_778,10.2380,10619.30
NZ_CP034778.1_780,7.5629,24780.35
NZ_CP034778.1_782,5.4381,135850.63
NZ_CP034778.1_783,8.9947,23015.47
NZ_CP034778.1_785,4.4826,47488.55
NZ_CP034778.1_787,10.2879,22476.75
NZ_CP034778.1_788,8.3546,29476.03
NZ_CP034778.1_789,8.6060,29906.74
NZ_CP034778.1_790,9.1807,37744.70
NZ_CP034778.1_791,4.9542,57812.66
NZ_CP034778.1_795,7.6245,35325.52
NZ_CP034778.1_796,4.5791,22576.12
NZ_CP034778.1_799,5.9697,60965.45
NZ_CP034778.1_800,7.8498,15844.84
NZ_CP034778.1_801,5.6422,11064.89
NZ_CP034778.1_802,6.2487,26607.84
NZ_CP034778.1_804,5.5647,11607.74
NZ_CP034778.1_807,7.7554,55904.04
NZ_CP034778.1_808,9.4591,42511.34
NZ_CP034778.1_809,6.9597,22760.19
NZ_CP034778.1_810,5.8342,56000.41
NZ_CP034778.1_814,5.7710,56442.64
NZ_CP034778.1_816,4.9649,28577.52
NZ_CP034778.1_817,6.5144,37936.02
NZ_CP034778.1_818,5.2063,20538.51
NZ_CP034778.1_820,6.3190,34800.10
NZ_CP034778.1_822,8.4806,10742.54
NZ_CP034778.1_823,9.5152,12250.53
NZ_CP034778.1_824,9.9580,45628.68
NZ_CP034778.1_825,4.7134,15452.73
NZ_CP034778.1_826,9.8434,55813.32
NZ_CP034778.1_828,8.3648,52877.33
